id,sentence,ward_euclidean_cluster
320318592224700014,2013 women's shoes single shoes wedges single shoes high heeled shoes platform princess vintage brief-inPumps from Shoes on Aliexpress.com,60
320318592224700017,Petitepeds made online shoe shopping easy now in India buy shoes online from Australian ladies shoe retailer at your home location in India,648
320318592224700018,"Shoes, heels, high heels, Christian Louboutin, womens shoes, womens shoe, women shoe, high heel, high heels high, shoes for women, sandals, shoe stores, stilettos, shoes online, sapatos, zapatos, calcados, roupas, calcado, www sapatos.",60
320318592224700018,Click for more shoes...,1602
320318592224700019,ENMAYER New arrive pumps women's high-heels platform women shoes sexy summer ultra high heels wedding women shoes 2014 $60.66,60
320318592224700022,"Flat shoes are best for daily wear and buying shoes online from and international Shoes brand is very convenient as PetitePeds Australia, also ships in India.",648
320318592224700024,"Gray vans for girls, want these so bad",736
320318592224700026,Tufted Dot Coverlet,1302
320318592224700224,pleated,1302
320318592224701204,This is very sweet.,1305
320318592224701204,:: Strength elephant necklace,869
320318592224701319,Ruffle-Hem Tank | J.Crew Factory,203
320318592224701338,// rollin' w the homies,1302
617978380091000336,⇢✷✼✷⇠Pinterest//livviemini⇢✷✼✷⇠ Follow me on Insta @liv.v.ie,187
140526450853000339,DIANE VON FURSTENBERG Bentley wrap-effect stretch-jersey dress,212
140526450853000349,Simple gold heels with the cutest white tulle midi skirt,479
140526450853000539,"This has been the lip color of fall, winter, summer, and spring.",763
140526450853000539,This color works for anytime of the month and day.,508
140526450853000760,Pinterest: itssamsworld ♡,188
140526450853000890,Hello loves :) Try the best clothing subscription box ever!,1
140526450853000890,September 2016 review.,801
140526450853000890,Fall outfit Inspiration photos for stitch fix.,8
140526450853000890,Sign up now!,441
140526450853000890,Just click the pic...You can use these pins to help your stylist better understand your personal sense of style.,1555
850406342108600690,New low pricing for many size of our unit.,1302
850406342108600690,Look no further Armored Mini Storage is the place when you’re out of space!,1232
850406342108600690,Call today or stop by for a tour of our facility!,1101
850406342108600690,Indoor Parking Available!,1354
850406342108600690,"Ideal for Classic Cars, Motorcycles, ATV’s Jet Skies 505-275-2825",1075
850406342108601009,Vertical Circle Business Card Template PSD.,357
850406342108601009,Download here: https://graphicriver.net/item/vertical-circle-business-card-/17415411?ref=ksioks,1455
850406342108601244,// beauty queen of 18 //,529
850406342108601274,grey knits + coffee,1395
850406342108601479,Ice Explosion - Photo Effects Actions,331
508836457870600911,HOW TO CURE BREAKOUTS AND ACNE SCARS    A fashion model recommends:  Mix lemon juice and egg white together and put it on your face as a mask.,1132
508836457870600911,Let it dry and then rinse it off with warm water.,1126
508836457870600911,REPEAT IT ONCE A WEEK.,1302
508836457870600911,"You skin will become less oily, the breakouts will disappear and acne scars will vanish.",1204
236931630373700833,Love the mix of gold + silver on this pretty Kate Spade watch from @Nordstrom,562
236931630373701025,bohemian boho style hippy hippie chic bohème vibe gypsy fashion indie folk,141
64528207136100853,ridiculously cute baby boy clothing!,776
64528207136101152,lovely lace,960
863072716061000298,Sunkiss wall lantern LED || Philips http://amzn.to/2t2rfh9,1302
863072716061000367,Love the soft purple colour Beauty & Personal Care - Makeup - Nails - Nail Art - winter nails colors - http://amzn.to/2lojz72,443
863072716061000554,bohemian boho style hippy hippie chic bohème vibe gypsy fashion indie folk look outfit,141
863072716061000630,Mini mouse inspired lip//,519
863072716061000801,50 Hand Drawn Vector Pattern Brushes - Volume 02 - for Adobe Illustrator #design #ai,978
863072716061000854,"If you think your hair is too thick, and want to look refreshed, then stay here and scroll down.",771
863072716061000854,You will see some breathtaking hairstyle tutorials for the long thick.,1113
863072716061000854,affiliate link,836
576108977310700192,love that silver end table!,1399
576108977310700210,i just put board descriptions on all of my boards idek how it's possible to be this bored,1131
576108977310700357,Lilly Pulitzer outfit,166
576108977310700623,Galaxy Responsive Portfolio Wordpress Theme http://themeforest.net/item/galaxy-responsive-portfolio-wordpress-theme/4918118?ref=wpaw #web #cms #wordpress #theme,366
576108977310700891,Modern Triangles Magazine.,1302
576108977310700891,Download here: http://graphicriver.net/item/modern-triangles-magazine/7083597?ref=abradesign #design #magazine #editorial,1489
576108977310700958,black.,276
576108977310700958,white.,227
576108977310700958,nude.,1302
576108977310701286,perfect to throw on in the summer,746
305611524703900956,"Pretty blouse, and I like how it looks with the choker, I wish I liked wearing off the shoulder clothes but I just find them kinda uncomfortable.",431
305611524703900956,Looks nice though.,1181
305611524703901074,round sunnies + fringe + rompers #bp,1103
305611524703901127,♕pinterest/amymckeown5,184
305611524703901276,I N S T A G R A M @EmilyMohsie,1094
305611524703901314,Half Moon Planter,1111
305611524703901364,Off the shoulder maxi dress.,210
156711262003500682,R2D2 lights!,617
811070214112100034,"Small backyard garden with bluestone tiles, artificial grass and lots of evergreens",1329
811070214112100814,PhotoDirector 8 - Photo Editing Made Easy,1348
811070214112101040,Cacoon hammock - need!,851
811070214112101316,"Joint Connector, Small, 2-1/2"" to 3-1/4"" by WoodRiver.",1302
811070214112101316,These concealed fittings allow work surfaces to be connected rapidly and securely.,1057
811070214112101316,They are great for joining countertop sections together.,1302
570549846516900710,Little black holiday dress,211
570549846516900876,Vision Ring #anthrofave #anthropologie #women #accessories,845
570549846516901269,Cabled Over-the-Knee Boot Socks,682
294774738082000123,Buffalo Chicken Dip Recipe,1302
294774738082000902,"Wear dresses from summer into fall by adding tights, boots, and a scarf.",763
496170083928700479,Half up boho hair❁,1111
496170083928700775,defined the scenes flat / modcloth,962
496170083928701305,darling dotted romper,1103
496170083928701350,darling dotted romper,1103
496170083928701426,♡Pinterest: @BasicFangurl ♚tumblr//@idcimfaith,186
409546159837301049,Elizabeth and James PYRAMID HAIRCALF POUCH,861
409546159837301105,bamboula ltd. & madewell woven shoulder bag,313
409546159837301122,Kate Spade New York,561
409546159837301276,really pretty alternative to nude!,1097
409546159837301276,cause lets be real I can't pull off nude nails well... A new color to try: A Crewed Interest,914
259449628510300463,Classic cognac booties with cuffed jeans.,958
259449628510300840,Ekanta Dress Big beautiful real women with curves fashion accept your body plus size body conscientiosness,44
259449628510301073,Gorgeous,977
526147168950500031,Pinterest: Chedsnehblogs ♡ www.chedsneh.blogspot.co.uk,188
526147168950500106,ShopStyle: Search and find the latest in fashion,839
526147168950500178,Everything.,959
526147168950500482,Eclectic Eccentricity,1302
526147168950500608,"Well if this doesn't automatically make you want to curl up with a coffee, I don't know what will.",1044
526147168950500661,Anthropologie Tracey Boyd Lacquered Regency Desk,1163
526147168950500671,Anthropologie Juliol Quilt,1163
526147168950500673,Magical Thinking Moroccan Tile Duvet Cover,1192
526147168950500725,"newborn baby details, this would be cute for a birth announcement",788
526147168950501070,Cute for a relaxing evening summer/ fall!,156
526147168950501266,2pcs Morganite Bridal Ring Set in Rose Gold,474
526147168950501316,Hair color /,771
330592428882000245,"Wowwow Lemonade Maui Kihei - 1279 S. Kihei Rd #309, Kihei Call 808-344-0319 for take out orders",1302
330592428882000370,// In need of a detox tea?,851
330592428882000370,Get 10% off your teatox using our discount code 'Pinterest10' on skinnymetea.com.au,780
330592428882000556,pιnтereѕт: @нencнυυυ.,1302
330592428882000556,we нearт ιт: @нencнυυυ тυмвlr: awѕoмeѕdreaмѕв,862
330592428882000700,☼ pinterest: simplysydneyyy ☼,188
330592428882001184,thesaltyblonde,1302
330592428882001199,"knit gray cardigan + denim shorts + white converse chucks + black cami crop top ll summer, spring outfit",260
285486063859401089,"Baby Moccasins, Toddler Moccasins, Floral moccasins",775
285486063859401270,rose gold cutlery via West Elm,1302
285486063859401271,pretty pie dishes | LaurenConrad.com,1300
523543525402801035,tri-tone intertwined ring,913
523543525402801063,Four Pocket Utility Jacket,1230
494692340303600264,"Slim with a dash of ease, our just-for-you answer to the boyfriend jean.",234
494692340303600527,Double Canvas Wine Tote,1254
494692340303601275,oatmeal cable knit sweater,676
494692340303601393,Sales Instagram Banners - 6 Tempaltes #design #ads Download: http://graphicriver.net/item/sales-instagram-banners-6-templates/12901326?ref=ksioks,1489
494692340303601395,Fashion Sale Web Banners Template PSD.,354
494692340303601395,Download here: http://graphicriver.net/item/fashion-sale-banners/15023462?ref=ksioks,1455
494692340303601427,"love this mug, perfect for the animal lover!",744
396316835945700191,Minox 62192 Binoculars 10 x 52 >>> You can get more details by clicking on the image.,1590
396316835945700346,2017 business / work fashion!,1420
396316835945700346,Take the stress out of shopping for work clothes & ask your Stitch Fix stylist to send you items like these.,438
396316835945700346,Delivered right to your door!,1388
396316835945700346,"#stitchfix #Sponsored Red skirt, black & white polka dot button up, short ruffle sleeved, tucked with belt",207
396316835945700351,2017 business / work fashion!,1420
396316835945700351,Take the stress out of shopping for work clothes & ask your Stitch Fix stylist to send you items like these.,438
396316835945700351,Delivered right to your door!,1388
396316835945700351,#stitchfix #Sponsored,401
396316835945700353,2017 business / work fashion!,1420
396316835945700353,Take the stress out of shopping for work clothes & ask your Stitch Fix stylist to send you items like these.,438
396316835945700353,Delivered right to your door!,1388
396316835945700353,#stitchfix #Sponsored,401
396316835945700859,×✧we ғoυnd love.✧× ↠{VolleyballBeaυт}↞,398
249738741814800075,"Write for yourself, no one else.",464
249738741814801355,wine coloured purse | kate spade,562
2040762309600164,Boho Print Maxi,719
2040762309600498,#fitspo,1054
514747432396100085,'Holly' Tropical Print Short Sleeve Shirt,208
514747432396100184,pink adidas!!,926
514747432396100184,I need these!,851
514747432396100960,Vintage Muse Stainless Steel Watch,968
548242954615700362,black high-slit maxi,219
548242954615700634,Parrot Tulips | 22 Insanely Cool Conversation-Piece Plants For Your Garden http://www.amazon.com/dp/B00AU9HHGG/?tag=buzz0f-20,1068
58335757656800015,@tyffiii•.♡ Follow me on IG at stef.s_style for daily fashion & lifestyle updates of myself,721
58335757656800073,Juliette - Rose Gold Holographic Nail Polish,522
530369293603500082,White jeans with snakeskin sneaker flats.,234
530369293603500118,I have never seen these Itty bitty baby hunter boots...I need them!!,1187
530369293603500118,I NEED THEM,851
530369293603500430,20 RANDOM QUESTIONS ABOUT ME // http://www.youtube.com/watch?v=1-AmZqZ0_t8,1302
121386152435800399,Pink coat,973
121386152435801229,"The style, not the pattern -CH | Open Front 3/4 Sleeve Striped Thin Coat RED: Jackets & Coats | ZAFUL",826
429319776970600344,outfits - love every one of these,464
429319776970600585,Join our Pinterest Fam: @SkinnyMeTea (130k+) ♡,781
429319776970600957,"Betty, riverdale, and jughead image",1607
429319776970601193,"http://ladiescostumediscounts.digimkts.com/ 4PC FLASH DANCE BODYSUIT COSTUME SET @ Amiclubwear costume Online Store,sexy costume,women's costume,christmas costumes,adult christmas costumes,santa claus costumes,fancy dress costumes,halloween costumes,halloween costume ideas,pirate costume,dance cos",36
247416573260100563,"two piece white lace, good for a beachy pre-wedding dinner, or a great bachelorette party dress!",1358
530158187375600952,pinterest: @riddhisinghal6 / instagram: lusshhlife http://amzn.to/2t7CRCS,733
569423946620600173,Nana-buba 2 piece set by RAHYMA on Etsy.,555
569423946620600173,Traditional African print Blouse and…,716
569423946620600218,pinterest ↠ beccaadownss_,185
569423946620600376,Sporty neoprene swimwear.,1302
569423946620600395,Pinterest:Teenvibesonly ☮ ☼,188
569423946620600499,#fitspo,1054
569423946620600551,Pinterest: @ThatMaoriGirl,188
569423946620600576,Pinterest: @TopOfTheWorld12,188
569423946620600606,Love this bikini.,398
569423946620600686,"I would have to lose about 40 lbs to wear this, but I think it's cute.",790
569423946620600711,Pinterest// beautywithjade5,188
569423946620601051,if I only had the time to spend with them and the space for them....,1115
569423946620601051,"I would have 101...lol <a href=""http://musapg.catspray.hop.clickbank.net/""><img src=""http://www.catsprayingnomore.com/images/banners/standard/ad3.jpg"" border=""0"" alt=""Cat Spraying No More"" /></a>",997
569423946620601324,Love the back.,897
569423946620601372,Cute office outfit for fall.,157
569423946620601372,Those tights make the outfit!,1044
569423946620601428,Black Scalloped Hem Keyhole Dress.,211
569423946620601428,Half off!,1111
449234131551200693,little red party dress - I want this dress for all of my holiday parties!,1150
449234131551200695,Dolly Chambray Dress,1298
565905509410800047,Fall / Autumn decor with candles.,97
565905509410800047,Classic Hurricane from Williams-Sonoma.,1302
565905509410800295,Cute Boy black sweater,276
565905509410801255,cute little planter for all the Pokemon lovers,1150
296674694188900057,Ariat Men's Big Loop Western Cowboy Boot >>> Additional info  : Boots for men,739
296674694188900510,Love this,398
296674694188900544,Find your inspiration here ღ Pinterest: @xoitsnicole,989
804314814672700021,Healthy Breeds Pit Bull Natural Skin/Coat Support for Dogs 60Count * Read more at the image link.,1685
804314814672700021,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700084,everyday fall style.,153
804314814672700115,Zhaoandans® Collapsible Indoor House Shark Bed Shelter Shark House Pet House Bed for Small Dogs Cat Gift for Pet Grey >>> Click on the image for additional details.,1569
804314814672700115,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700205,K9 Advantix II Small Dog 4-Pack * Learn more by visiting the image link.,1701
804314814672700205,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700239,"Petmate LeBistro Portion-Control Automatic Pet Feeder, Black, 4.2 Pounds >>> Check this awesome product by going to the link at the image.",1622
804314814672700239,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700265,Tactical Tag-It Molle Attach Device for Tag and misc - Black -- Click image for more details.,1592
804314814672700265,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700310,"Stainless Steel Training Chain Pitbull Pet Dog Choke Collar, 30mm Wide, 680 lbs, 17.7Inch - 25.59Inch ** Find out more about the great product at the image link.",1675
804314814672700310,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700352,"Platinum Pets 3 Cup Embossed Non-Tip Stainless Steel Dog Bowls with Clear Feeding Mat, Candy Red ** Details can be found by clicking on the image.",1567
804314814672700352,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700388,"Zep-Pro Brown Leather Concho Pet Collar, Virginia Cavaliers, Small >>> You can get more details by clicking on the image.",1589
804314814672700388,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700415,"Beach Dog Sunset Pet Leash, Yellow * Be sure to check out this awesome product.",1630
804314814672700415,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700439,Dealetech 2pcs Black Dog Pet Car Seat Cover with Seat Anchors Universal Seat Protection Cover Machine Washable >>> Check out this great product.,1661
804314814672700439,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700465,Four Paws 456279 Spring Action Scoop Grass Reg ** Find out more about the great product at the image link.,1674
804314814672700465,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700509,"Dog Diapers - Made in USA - Happy Smile Monkey Washable Dog Diaper for Dog Incontinence, Housetraining and Females in Heat -- Be sure to check out this awesome product.",1608
804314814672700509,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700571,"Diva Dog Double Bowls with Stainless-Steel Insert, 2 by 16 oz.",580
804314814672700571,>>> Check out the image by visiting the link.,1717
804314814672700571,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700601,Pet Carrier Soft Sided Large Cat Dog Comfort Rose Wine Pink Bag Travel Approved >>> Want additional info?,1658
804314814672700601,Click on the image.,1607
804314814672700601,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700630,"Blue Buffalo Homestyle Recipe Beef Dinner Canned Dog Food, Large * Check out the image by visiting the link.",1698
804314814672700630,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700645,"Dog Leash Harness, Turbot No-pull Adjustable Walking and Training Dog Leash Harness ,Heavy Duty Denim Dog Leash Collar for Large Dog ** Continue to the product at the image link.",1654
804314814672700645,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700675,COOLTECH® 11.8 inch Slow Feed Dog Bowl Interactive Bloat Stop Pet Bowl with Collapsible Travel Dog Bowl- FDA Approved ** Read more at the image link.,1635
804314814672700675,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700716,"Premium Charcoal Water Filters for PetSafe Drinkwell Avalon and Pagoda Fountains, Pack of 12 ** You can get more details by clicking on the image.",1590
804314814672700716,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700746,"Whitelotous Pet Poop Bags Dog Cat Waste Pick Up Clean Bag Refill 20 Bags Per Roll (800, Blue) * See this great product.",1665
804314814672700746,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700776,"Cetacea Soft Martingale Collar, Large, Olive *** Click on the image for additional details.",1592
804314814672700776,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700805,PetZoom Self Cleaning Grooming Brush with Bonus Pet Trimmer *** Click image for more details.,1566
804314814672700805,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700834,JW Pet Company Treat Pod Rope Ring ** Click on the image for additional details.,1572
804314814672700834,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700861,"Heavy Duty Pet ID Tags - Stainless Steel DEEP Engraved - Bone, Round, or Heart - 4 Sizes Available - Customized Identification Tags for Dogs and Cats * Click on the image for additional details.",1568
804314814672700861,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700910,"Dublin Dog Bobb Pet Toy, Blue >>> Check out the image by visiting the link.",1717
804314814672700910,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700927,"With spring around the corner, here are some spring colour combinations you should be following!",735
804314814672700951,"Pet Shower Kit, Multifunction Portable Handheld Pet Bath Massaging, Grooming Suite (47 inch Stainless Steel Hose) * You can get additional details at the image link.",1723
804314814672700951,(This is an affiliate link and I receive a commission for the sales),1494
804314814672700978,Nylabone Natural Nubz Edible Dog Chews 22ct.,1302
804314814672700978,(2.6lb bag)(Pack of 2) * You can get more details by clicking on the image.,1590
804314814672700978,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701016,"14 OZ, Duck Formula Freeze-Dried Food for Dogs >>> You can find more details by visiting the image link.",1735
804314814672701016,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701019,♕pinterest/amymckeown5,184
804314814672701062,Tough Dog Toys Interactive Games Tooth Cleaning Treat Ball for Dog Training Playing Crewing 2.8In *** Continue to the product at the image link.,1680
804314814672701062,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701092,Freerun Warm Soft Cozy Durable Pets Dogs Cats Round Shape Machine Washable Pets Beds *** You can find out more details at the link of the image.,1637
804314814672701092,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701114,"wangstar Squeaky Dog Toy, 3 Pack, Non Toxic Fruit Vegetable Design Plush Puppy Chew Toy for Small Breeds, 5.5 Inch -- Learn more by visiting the image link.",1699
804314814672701114,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701144,Diggers Pet Bed 16 In.,996
804314814672701144,Polyester ** Check this awesome product by going to the link at the image.,1622
804314814672701144,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701165,Rae Dunn by Magenta NIBBLE in large letters 6 inch pet bowl with orange interior -- More info could be found at the image url.,1560
804314814672701165,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701197,Tutuba Pet Multifunction House Cute Soft Kennel Product Dog Bed Washable Cushion Mat ** Check out the image by visiting the link.,1637
804314814672701197,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701246,Mudder Pet Dog Seat Belt Leash Adjustable Cat Safety Leads Vehicle Car Seatbelt Harness with Elastic Nylon Bungee Buffer *** Check out the image by visiting the link.,1652
804314814672701246,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701276,Personalized Laser Engraved 1.5 x 1 inch Texas AandM Aggies Bone Shape Pet ID Tag - Free Tag Silencer >>> Visit the image link more details.,1644
804314814672701276,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701303,"GoTags Pet ID - Playful, Custom Engraved Dog and Cat Pet Tags.",1664
804314814672701303,"Solid Stainless Steel, Personalized, and Fun.",1205
804314814672701303,** Be sure to check out this awesome product.,1630
804314814672701303,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701355,POOPUP * Find out more about the great product at the image link.,1674
804314814672701355,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701397,Lovely summer Pet Dog Cat Puppy Carrier Traveler Bubble Backpack Travel Shoulder Bag Dog Carrier Travel Sling Bag Small Dog Backpack -- Be sure to check out this awesome product.,1658
804314814672701397,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701420,Exell Transmitter Battery for Kinetic MH330AAAK6HC Sportdog SD-1800 >>> Read more reviews of the product by visiting the link on the image.,1669
804314814672701420,(This is an affiliate link and I receive a commission for the sales),1494
804314814672701480,"Uxcell Braided Bone Rope Chew Knot Practice Training Pets Toy Gift, Multicolor *** Be sure to check out this awesome product.",1626
804314814672701480,(This is an affiliate link and I receive a commission for the sales),1494
117234396523100370,my new phone cover :) / Rifle Paper Co,1291
117234396523100695,Hair and Makeup by Steph,771
406872147571900294,Corgis,1302
406872147571900581,"Clothing, Shoes & Jewelry : Women : Accessories : handbag organizer http://amzn.to/2id0wYy",55
406872147571900735,First class,1105
406872147571900876,"“Reflections Of A Man” is now available on Apple iBooks, Kobo, Barnes & Noble Nook, and Amazon in both the paperback and Kindle editions!",596
406872147571900876,Amazon: http://www.amazon.com/Reflections-Man-Mr-Amari-Soul/dp/0986164704/ref=as_sl_pc_tf_til?tag=mramso-20&linkCode=w00&linkId=NMM5T6TFKAL5G64F&creativeASIN=0986164704,603
406872147571901168,I N S T A G R A M @EmilyMohsie,1094
294985844321901368,Artistic Accountant Heel,687
419890365249800368,Luke Cage and Jessica Jones everyone.,1250
419890365249800399,Fall Outfit Idea.,164
419890365249800399,For similar content follow me @jpsunshine10041,735
419890365249800537,Wedding | Color Palettes,400
419890365249800592,Power tool holder with PVC pipe :: OrganizingMadeFun.com,416
495677502727300774,Airport outfit.,166
